setsize,config,Mean-StandardIfTree,Var-StandardIfTree,Mean-OptimizedIfTree,Var-OptimizedIfTree,Mean-StandardNativeTree,Var-StandardNativeTree,Mean-OptimizedNativeTree,Var-OptimizedNativeTree
2,./wearable-body-postures/cpp/intel/forest_1/,8.05E-08,1.94E-12,0,0,4.83E-05,0,4.83E-05,0
2,./wearable-body-postures/cpp/intel/forest_25/,0.000773262,1.15E-11,0.000581355,4.37E-11,0.00382107,3.48E-10,0.00222786,5.98E-10
3,./wearable-body-postures/cpp/intel/forest_1/,0,0,0,0,4.83E-05,0,4.83E-05,0
3,./wearable-body-postures/cpp/intel/forest_25/,0.000773504,1.70E-11,0.000580309,1.70E-11,0.00382566,1.18E-09,0.00219389,2.63E-10
4,./wearable-body-postures/cpp/intel/forest_1/,0,0,0,0,4.83E-05,0,4.83E-05,0
4,./wearable-body-postures/cpp/intel/forest_25/,0.000773181,9.59E-12,0.000603733,0,0.00381978,3.88E-10,0.00215766,1.08E-09
5,./wearable-body-postures/cpp/intel/forest_1/,0,0,0,0,4.83E-05,0,4.83E-05,0
5,./wearable-body-postures/cpp/intel/forest_25/,0.000773262,1.15E-11,0.000579745,3.87E-12,0.00374097,8.67E-10,0.00213062,3.05E-10
6,./wearable-body-postures/cpp/intel/forest_1/,0,0,0,0,4.83E-05,0,4.83E-05,0
6,./wearable-body-postures/cpp/intel/forest_25/,0.000773423,1.52E-11,0.000580309,1.70E-11,0.0038263,9.44E-10,0.00212893,3.23E-10
7,./wearable-body-postures/cpp/intel/forest_1/,0,0,0,0,4.83E-05,0,4.83E-05,0
7,./wearable-body-postures/cpp/intel/forest_25/,0.000773906,2.99E-11,0.000580711,2.60E-11,0.00382171,3.68E-10,0.00212868,1.67E-10
8,./wearable-body-postures/cpp/intel/forest_1/,0,0,0,0,4.83E-05,0,4.83E-05,0
8,./wearable-body-postures/cpp/intel/forest_25/,0.000773584,1.89E-11,0.000580309,1.70E-11,0.00387009,1.81E-09,0.00214229,8.73E-10
9,./wearable-body-postures/cpp/intel/forest_1/,0,0,0,0,4.83E-05,0,4.83E-05,0
9,./wearable-body-postures/cpp/intel/forest_25/,0.000775838,6.47E-11,0.000580389,1.89E-11,0.00379837,4.71E-10,0.00210397,1.49E-10
10,./wearable-body-postures/cpp/intel/forest_1/,0,0,0,0,4.83E-05,0,4.83E-05,0
10,./wearable-body-postures/cpp/intel/forest_25/,0.000773262,1.15E-11,0.00058055,2.25E-11,0.00380231,1.25E-09,0.00210639,3.20E-10
11,./wearable-body-postures/cpp/intel/forest_1/,0,0,0,0,4.83E-05,0,4.83E-05,0
11,./wearable-body-postures/cpp/intel/forest_25/,0.000773423,1.52E-11,0.000579584,0,0.00381882,9.10E-10,0.0021505,2.78E-11
12,./wearable-body-postures/cpp/intel/forest_1/,0,0,0,0,4.83E-05,0,4.83E-05,0
12,./wearable-body-postures/cpp/intel/forest_25/,0.000773101,7.70E-12,0.000580228,1.52E-11,0.00379861,4.65E-10,0.00208127,3.49E-10
13,./wearable-body-postures/cpp/intel/forest_1/,0,0,0,0,4.83E-05,0,4.83E-05,0
13,./wearable-body-postures/cpp/intel/forest_25/,0.000774388,3.64E-11,0.000580309,1.70E-11,0.00378267,4.71E-10,0.00207966,1.38E-10
14,./wearable-body-postures/cpp/intel/forest_1/,0,0,0,0,4.83E-05,0,4.83E-05,0
14,./wearable-body-postures/cpp/intel/forest_25/,0.000773181,9.59E-12,0.000580389,1.89E-11,0.00379338,5.97E-10,0.00206606,4.80E-10